factor,slider.response,my_rs,difference
standard_plot,0.075925954,0.217954545,0.14202859099999998
standard_plot,0.067592621,0.271818182,0.204225561
standard_plot,0.210185199,0.738636364,0.528451165
standard_plot,0.067592621,0.541136364,0.473543743
standard_plot,0.101851866,0.487272727,0.385420861
size_manipulated,0.039814843,0.217954545,0.178139702
size_manipulated,0.489814843,0.666818182,0.17700333899999998
size_manipulated,0.714814843,0.828409091,0.11359424800000006
standard_plot,0.862037065,0.99,0.127962935
standard_plot,0.152777778,0.379545455,0.22676767699999997
standard_plot,0.377777778,0.828409091,0.450631313
standard_plot,0.860185242,0.954090909,0.09390566700000004
size_manipulated,0.703703732,0.7925,0.08879626799999996
size_manipulated,0.503703732,0.756590909,0.2528871770000001
standard_plot,0.14629631,0.702727273,0.5564309630000001
size_manipulated,0.073148176,0.379545455,0.30639727899999997
standard_plot,0.253703732,0.612954545,0.359250813
standard_plot,0.477777778,0.810454545,0.33267676700000004
standard_plot,0.632407464,0.882272727,0.249865263
size_manipulated,0.364814843,0.648863636,0.28404879299999997
size_manipulated,0.700925954,0.900227273,0.19930131900000003
size_manipulated,0.069444444,0.325681818,0.256237374
size_manipulated,0.158333333,0.235909091,0.077575758
standard_plot,0.311111111,0.720681818,0.409570707
standard_plot,0.579629686,0.900227273,0.3205975870000001
standard_plot,0.050925954,0.253863636,0.202937682
size_manipulated,0.93148151,0.972045455,0.04056394499999993
standard_plot,0.177777778,0.559090909,0.381313131
standard_plot,0.088888889,0.505227273,0.416338384
size_manipulated,0.943518575,0.99,0.04648142499999996
standard_plot,0.58148151,0.846363636,0.26488212599999994
size_manipulated,0.048148176,0.271818182,0.22367000600000003
standard_plot,0.617592621,0.918181818,0.300589197
size_manipulated,0.801851908,0.720681818,-0.08117008999999997
size_manipulated,0.880555556,0.936136364,0.05558080799999998
standard_plot,0.032407422,0.343636364,0.311228942
size_manipulated,0.689814843,0.559090909,-0.13072393399999993
standard_plot,0.023148176,0.433409091,0.410260915
size_manipulated,0.368518575,0.361590909,-0.00692766599999999
size_manipulated,0.278703732,0.343636364,0.06493263200000005
standard_plot,0.299074088,0.684772727,0.385698639
size_manipulated,0.7,0.738636364,0.03863636400000003
standard_plot,0.10648151,0.469318182,0.362836672
size_manipulated,0.675,0.595,-0.08000000000000007
size_manipulated,0.593518575,0.541136364,-0.05238221100000007
standard_plot,0.070370399,0.415454545,0.34508414600000004
size_manipulated,0.505555556,0.577045455,0.07148989900000002
size_manipulated,0.350925954,0.415454545,0.06452859100000002
standard_plot,0.912963019,0.972045455,0.05908243599999996
size_manipulated,0.828703732,0.684772727,-0.143931005
standard_plot,0.139814843,0.595,0.4551851569999999
size_manipulated,0.872222222,0.702727273,-0.16949494899999995
size_manipulated,0.323148176,0.469318182,0.14617000599999996
standard_plot,0.276851866,0.774545455,0.4976935890000001
size_manipulated,0.465740797,0.487272727,0.02153193000000003
size_manipulated,0.801851908,0.846363636,0.04451172800000003
size_manipulated,0.474074131,0.523181818,0.04910768699999995
size_manipulated,0.941666667,0.918181818,-0.02348484900000003
standard_plot,0.261111111,0.666818182,0.405707071
size_manipulated,0.148148176,0.307727273,0.15957909700000003
standard_plot,0.773148176,0.936136364,0.16298818800000003
standard_plot,0.009259288,0.289772727,0.28051343900000003
size_manipulated,0.675,0.774545455,0.099545455
size_manipulated,0.552777778,0.433409091,-0.11936868700000004
standard_plot,0.627777778,0.864318182,0.236540404
size_manipulated,0.687963019,0.630909091,-0.05705392799999997
size_manipulated,0.02129631,0.2,0.17870369000000003
standard_plot,0.176851866,0.235909091,0.05905722499999999
standard_plot,0.633333333,0.756590909,0.12325757599999998
size_manipulated,0.310185199,0.3975,0.087314801
standard_plot,0.310185199,0.630909091,0.320723892
standard_plot,0.235185199,0.523181818,0.28799661899999995
size_manipulated,0.275925954,0.612954545,0.33702859100000004
size_manipulated,0.742592621,0.810454545,0.06786192400000002
standard_plot,0.057407422,0.451363636,0.393956214
size_manipulated,0.472222222,0.451363636,-0.02085858600000001
standard_plot,0.175,0.2,0.02500000000000002
size_manipulated,0.75648151,0.864318182,0.10783667200000002
standard_plot,0.097222222,0.307727273,0.21050505100000003
standard_plot,0.009259288,0.3975,0.388240712
