opacity_power,size_power,additive_power,standard_curve,additive_raw_pl,my_rs
-0.0105437464,0.1006714794,0.2188917002,0.2176932716,0.4365849719,0.2
-0.0100471575,0.052148115,0.2055863247,0.2225515563,0.4281378809,0.217954545
-0.0254289214,0.0743592707,0.2138248182,0.2264980466,0.4403228648,0.235909091
-0.0136428314,0.0778939107,0.2161742827,0.2322646706,0.4484389532,0.253863636
-0.025172033,0.0713583642,0.1755565534,0.2454159411,0.4209724944,0.271818182
-0.0098268206,0.0826071148,0.2320536352,0.2308342137,0.462887849,0.289772727
0.0288672741,0.0941821594,0.2221985566,0.2343042932,0.4565028497,0.307727273
3.352309800964126e-4,0.0883954641,0.2407963547,0.2354458314,0.4762421861,0.325681818
0.0132069563,0.1125588139,0.2304993967,0.2379356096,0.4684350063,0.343636364
0.0129861962,0.1030328624,0.2331521838,0.2615296765,0.4946818603,0.361590909
0.0514160129,0.1037552488,0.2569552002,0.2443000261,0.5012552264,0.379545455
0.0181567447,0.1029857197,0.2278791674,0.2810690714,0.5089482388,0.3975
0.0272467766,0.1282642566,0.2723411472,0.2681769806,0.5405181278,0.415454545
0.0340913891,0.131071099,0.2572682866,0.2846258982,0.5418941848,0.433409091
0.0574864675,0.130979738,0.2962323203,0.2752921454,0.5715244657,0.451363636
0.0452023557,0.143357776,0.2934261953,0.304951729,0.5983779243,0.469318182
0.0655252877,0.1691985056,0.3285251157,0.2852788682,0.6138039838,0.487272727
0.072780034,0.1561331499,0.3151796941,0.3127460395,0.6279257336,0.505227273
0.0854059396,0.1573754632,0.3119677386,0.3163886468,0.6283563854,0.523181818
0.0754401526,0.1605313377,0.3307606699,0.3309037051,0.661664375,0.541136364
0.0488197122,0.1653444198,0.3114017255,0.3565094975,0.667911223,0.559090909
0.0445835637,0.1592166771,0.3092696083,0.3809177174,0.6901873257,0.577045455
0.0852670329,0.1672467319,0.3297132251,0.3905240274,0.7202372525,0.595
0.0653702622,0.1456941396,0.3074808894,0.4177769813,0.7252578707,0.612954545
0.0745054619,0.1979075845,0.3296796905,0.4132252213,0.7429049118,0.630909091
0.0562824099,0.1741893986,0.3118953107,0.4402873409,0.7521826516,0.648863636
0.0504943068,0.1529397486,0.275219019,0.4751923083,0.7504113273,0.666818182
0.0551435361,0.177221751,0.2860311231,0.4830984827,0.7691296059,0.684772727
0.0604425799,0.1718914451,0.2546115366,0.5152391713,0.7698507079,0.702727273
0.0546726662,0.13359663,0.2441021301,0.5375386483,0.7816407785,0.720681818
0.0296326555,0.1490857322,0.2378998504,0.5579996868,0.7958995372,0.738636364
0.0501925185,0.1460620692,0.2475895287,0.5665164362,0.8141059648,0.756590909
0.0473825847,0.132528197,0.219303638,0.6049586443,0.8242622823,0.774545455
0.0121198408,0.1275975691,0.1997669698,0.6358745972,0.835641567,0.7925
0.0354030279,0.1153278267,0.1859160223,0.654150794,0.8400668163,0.810454545
-0.0043362532,0.0871147651,0.1622785787,0.6902820581,0.8525606369,0.828409091
0.0172493751,0.0902010582,0.1417764383,0.7037120062,0.8454884445,0.846363636
-0.0243518932,0.0612948949,0.1183647545,0.7526030318,0.8709677863,0.864318182
-0.0182400717,0.0352339151,0.0864864511,0.7793677394,0.8658541905,0.882272727
0.0869672088,0.1274562382,0.1743439318,0.7012433135,0.8755872453,0.900227273
0.0959034231,0.1302670339,0.1738983192,0.7123128535,0.8862111727,0.918181818
0.0934283083,0.1080186291,0.1561643242,0.7497865451,0.9059508694,0.936136364
0.0976485859,0.1031586228,0.156638139,0.762462514,0.9191006529,0.954090909
0.096274687,0.0940455158,0.1212907922,0.8094109887,0.9307017809,0.972045455
0.0711774303,0.0314031158,0.0621527417,0.8861599641,0.9483127058,0.99
