participant,item,size,contrast,slider.response,my_rs,total_residuals,unique_item_no,session,trials.thisN,condition_abs,half,literacy,age_textbox.text,gender_slider.response,dot_pitch,res_width,VT_perc_correct,VT_no_correct,difference
54,4,N,I,0.111111111,0.253863636,97.45,16,﻿64be4ccf6a3b58bca6f47378,0,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.14275252500000002
54,22,N,I,0.5625,0.577045455,82.45,88,﻿64be4ccf6a3b58bca6f47378,1,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.01454545500000004
54,32,I,N,0.847222222,0.756590909,65.73,127,﻿64be4ccf6a3b58bca6f47378,2,X,First,20,24,M,0.32345312499999995,2560,100,6,-0.09063131299999994
54,25,N,N,0.927083333,0.630909091,78.2,97,﻿64be4ccf6a3b58bca6f47378,3,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.296174242
54,23,I,N,0.348611111,0.595,81.13,91,﻿64be4ccf6a3b58bca6f47378,4,X,First,20,24,M,0.32345312499999995,2560,100,6,0.246388889
54,24,N,N,0.954166667,0.612954545,79.66,93,﻿64be4ccf6a3b58bca6f47378,5,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.34121212199999995
54,26,N,N,0.977777778,0.648863636,76.62,101,﻿64be4ccf6a3b58bca6f47378,6,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.328914142
54,21,N,I,0.841666667,0.559090909,83.77,84,﻿64be4ccf6a3b58bca6f47378,7,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.282575758
54,10,N,N,0.870138889,0.361590909,94.23,37,﻿64be4ccf6a3b58bca6f47378,8,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.50854798
54,13,N,I,0.661805556,0.415454545,91.98,52,﻿64be4ccf6a3b58bca6f47378,9,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.246351011
54,15,N,I,0.539583333,0.451363636,90.29,60,﻿64be4ccf6a3b58bca6f47378,10,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.08821969700000004
54,28,N,N,0.893055556,0.684772727,73.36,109,﻿64be4ccf6a3b58bca6f47378,11,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.20828282899999995
54,41,I,N,0.98125,0.918181818,39.66,163,﻿64be4ccf6a3b58bca6f47378,12,X,First,20,24,M,0.32345312499999995,2560,100,6,-0.06306818199999997
54,14,N,N,0.80625,0.433409091,91.2,53,﻿64be4ccf6a3b58bca6f47378,13,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.372840909
54,23,N,I,0.661805556,0.595,81.13,92,﻿64be4ccf6a3b58bca6f47378,14,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.06680555600000004
54,34,N,N,0.922916667,0.7925,61.29,133,﻿64be4ccf6a3b58bca6f47378,15,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.13041666699999999
54,30,I,I,0.7625,0.720681818,69.76,118,﻿64be4ccf6a3b58bca6f47378,16,B,First,20,24,M,0.32345312499999995,2560,100,6,-0.04181818199999998
54,12,N,I,0.222916667,0.3975,92.82,48,﻿64be4ccf6a3b58bca6f47378,17,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.174583333
54,28,N,I,0.266666667,0.684772727,73.36,112,﻿64be4ccf6a3b58bca6f47378,18,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.41810606
54,33,I,I,0.286805556,0.774545455,63.57,130,﻿64be4ccf6a3b58bca6f47378,19,B,First,20,24,M,0.32345312499999995,2560,100,6,0.48773989900000003
54,17,I,N,0.184722222,0.487272727,88.33,67,﻿64be4ccf6a3b58bca6f47378,20,X,First,20,24,M,0.32345312499999995,2560,100,6,0.302550505
54,28,I,I,0.186111111,0.684772727,73.36,110,﻿64be4ccf6a3b58bca6f47378,21,B,First,20,24,M,0.32345312499999995,2560,100,6,0.49866161600000003
54,40,I,N,0.928472222,0.900227273,43.56,159,﻿64be4ccf6a3b58bca6f47378,22,X,First,20,24,M,0.32345312499999995,2560,100,6,-0.028244948999999964
54,23,I,I,0.048611111,0.595,81.13,90,﻿64be4ccf6a3b58bca6f47378,23,B,First,20,24,M,0.32345312499999995,2560,100,6,0.5463888889999999
54,32,I,I,0.227083333,0.756590909,65.73,126,﻿64be4ccf6a3b58bca6f47378,24,B,First,20,24,M,0.32345312499999995,2560,100,6,0.5295075760000001
54,39,I,N,0.811805556,0.882272727,47.19,155,﻿64be4ccf6a3b58bca6f47378,25,X,First,20,24,M,0.32345312499999995,2560,100,6,0.070467171
54,7,N,I,0.3375,0.307727273,96.03,28,﻿64be4ccf6a3b58bca6f47378,26,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.029772727
54,4,N,N,0.400694444,0.253863636,97.45,13,﻿64be4ccf6a3b58bca6f47378,27,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.14683080799999998
54,35,N,N,0.982638889,0.810454545,58.87,137,﻿64be4ccf6a3b58bca6f47378,28,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.17218434399999993
54,5,N,I,0.425694444,0.271818182,96.99,20,﻿64be4ccf6a3b58bca6f47378,29,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.15387626199999999
54,8,N,N,0.806944444,0.325681818,95.52,29,﻿64be4ccf6a3b58bca6f47378,30,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.48126262599999997
54,42,N,I,0.990972222,0.936136364,35.25,168,﻿64be4ccf6a3b58bca6f47378,31,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.054835858000000015
54,19,N,N,0.854861111,0.523181818,86.21,73,﻿64be4ccf6a3b58bca6f47378,32,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.331679293
54,11,I,N,0.05,0.379545455,93.55,43,﻿64be4ccf6a3b58bca6f47378,33,X,First,20,24,M,0.32345312499999995,2560,100,6,0.329545455
54,13,N,N,0.63125,0.415454545,91.98,49,﻿64be4ccf6a3b58bca6f47378,34,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.21579545499999997
54,20,I,I,0.404166667,0.541136364,85.04,78,﻿64be4ccf6a3b58bca6f47378,35,B,First,20,24,M,0.32345312499999995,2560,100,6,0.136969697
54,8,I,I,0.275,0.325681818,95.52,30,﻿64be4ccf6a3b58bca6f47378,36,B,First,20,24,M,0.32345312499999995,2560,100,6,0.05068181799999999
54,38,N,I,0.945833333,0.864318182,50.47,152,﻿64be4ccf6a3b58bca6f47378,37,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.08151515100000006
54,27,N,I,0.663888889,0.666818182,75.05,108,﻿64be4ccf6a3b58bca6f47378,38,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.0029292929999999995
54,42,N,N,1,0.936136364,35.25,165,﻿64be4ccf6a3b58bca6f47378,39,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.063863636
54,41,I,I,0.9,0.918181818,39.66,162,﻿64be4ccf6a3b58bca6f47378,40,B,First,20,24,M,0.32345312499999995,2560,100,6,0.01818181799999996
54,28,I,N,0.74375,0.684772727,73.36,111,﻿64be4ccf6a3b58bca6f47378,41,X,First,20,24,M,0.32345312499999995,2560,100,6,-0.058977273
54,24,N,I,0.645138889,0.612954545,79.66,96,﻿64be4ccf6a3b58bca6f47378,42,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.03218434400000003
54,40,N,N,0.964583333,0.900227273,43.56,157,﻿64be4ccf6a3b58bca6f47378,43,A,First,20,24,M,0.32345312499999995,2560,100,6,-0.06435605999999994
54,29,N,I,0.5875,0.702727273,71.6,116,﻿64be4ccf6a3b58bca6f47378,44,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.11522727300000002
54,14,N,I,0.486805556,0.433409091,91.2,56,﻿64be4ccf6a3b58bca6f47378,45,Y,First,20,24,M,0.32345312499999995,2560,100,6,-0.05339646499999995
54,38,I,N,0.370833333,0.864318182,50.47,151,﻿64be4ccf6a3b58bca6f47378,46,X,First,20,24,M,0.32345312499999995,2560,100,6,0.493484849
54,14,I,I,0.099305556,0.433409091,91.2,54,﻿64be4ccf6a3b58bca6f47378,48,B,First,20,24,M,0.32345312499999995,2560,100,6,0.334103535
54,22,I,N,0.130555556,0.577045455,82.45,87,﻿64be4ccf6a3b58bca6f47378,49,X,First,20,24,M,0.32345312499999995,2560,100,6,0.446489899
54,37,N,I,0.659027778,0.846363636,53.4,148,﻿64be4ccf6a3b58bca6f47378,50,Y,First,20,24,M,0.32345312499999995,2560,100,6,0.18733585799999997
